journal_title,issn_print,issn_online,source,area,rank,active_status,source_type,best_rank,area_group,major_group
4OR ,1619-4500,1614-2411,ABDC,"Other commerce, management, tourism and services",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scimago,Computational Theory and Mathematics,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
4OR ,1619-4500,1614-2411,Scimago,Management Information Systems,Q2,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scimago,Management Science and Operations Research,Q2,,,Q1,Decision Sciences,"Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scimago,Theoretical Computer Science,Q2,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
4OR ,1619-4500,1614-2411,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
4OR ,1619-4500,1614-2411,Scopus,Decision Sciences,,Active,Journal,,Decision Sciences,"Business, Economics & Management"
4OR ,1619-4500,1614-2411,Scopus,Mathematics,,Active,Journal,,Mathematics,"Tech, Data & Quantitative Methods"
AACE International Transactions,1528-7106,1528-7106,ABDC,"Other commerce, management, tourism and services",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Information Systems,1046-8188,1558-2868,ABDC,Information systems,C ,,,,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Information Systems,1046-8188,1558-2868,AJG,Knowledge Management,,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
ACM Transactions on Information Systems,1046-8188,1558-2868,AJG,Management Information Systems,,,,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scimago,"Business, Management and Accounting (miscellaneous)",Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scimago,Computer Science Applications,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scimago,Information Systems,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Information Systems,1046-8188,1558-2868,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,ABDC,"Other commerce, management, tourism and services",B ,,,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,AJG,Knowledge Management,3,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,AJG,Management Information Systems,3,,,,"Business, Management and Accounting","Business, Economics & Management"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,Scimago,Computer Science Applications,Q3,,,Q2,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,Scimago,Modeling and Simulation,Q2,,,Q2,Mathematics,"Tech, Data & Quantitative Methods"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
ACM Transactions on Modeling and Computer Simulation,1049-3301,1558-1195,Scopus,Mathematics,,Active,Journal,,Mathematics,"Tech, Data & Quantitative Methods"
AIMS International Journal of Management,1939-7011,,ABDC,"Strategy, management and organisational behaviour",C,,,,"Business, Management and Accounting","Business, Economics & Management"
AIS Educator Journal,1935-8156,,ABDC,"Accounting, auditing and accountability",C ,,,,"Business, Management and Accounting","Business, Economics & Management"
AIS Transactions on Human-Computer Interaction,1944-3900,,ABDC,Information systems,A,,,,Computer Science,"Tech, Data & Quantitative Methods"
AIS Transactions on Human-Computer Interaction,1944-3900,,AJG,Knowledge Management,2,,,,General,"Applied Sciences, Sustainability & Interdisciplinary"
AIS Transactions on Human-Computer Interaction,1944-3900,,AJG,Management Information Systems,2,,,,"Business, Management and Accounting","Business, Economics & Management"
AIS Transactions on Human-Computer Interaction,1944-3900,,Scimago,Computer Networks and Communications,Q1,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
AIS Transactions on Human-Computer Interaction,1944-3900,,Scimago,Computer Science Applications,Q2,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
AIS Transactions on Human-Computer Interaction,1944-3900,,Scimago,Human-Computer Interaction,Q2,,,Q1,Computer Science,"Tech, Data & Quantitative Methods"
AIS Transactions on Human-Computer Interaction,1944-3900,,Scopus,Computer Science,,Active,Journal,,Computer Science,"Tech, Data & Quantitative Methods"
ALI - ABA Business Law Course Materials Journal,1536-4445,,ABDC,Commercial law,C ,,,,Social Sciences,Social Sciences & Humanities
AMS Review,1869-814X,1869-8182,ABDC,Marketing,B,,,,"Business, Management and Accounting","Business, Economics & Management"
AMS Review,1869-814X,1869-8182,Scimago,Marketing,Q1,,,Q1,"Business, Management and Accounting","Business, Economics & Management"
AMS Review,1869-814X,1869-8182,Scopus,"Business, Management and Accounting",,Active,Journal,,"Business, Management and Accounting","Business, Economics & Management"
ASEAN Journal on Hospitality and Tourism,1412-2073,,ABDC,Tourism,C,,,,"Business, Management and Accounting","Business, Economics & Management"
ASOR Bulletin,0812-860X,1446-6678,ABDC,"Transportation, logistics and supply chains",C ,,,,Social Sciences,Social Sciences & Humanities
ASTIN Bulletin,0515-0361,1783-1350,ABDC,"Banking, finance and investment",A* ,,,,"Economics, Econometrics and Finance","Business, Economics & Management"
ASTIN Bulletin,0515-0361,1783-1350,AJG,Finance & Accounting,2,,,,"Business, Management and Accounting","Business, Economics & Management"
